,strikePrice_CE,expiryDate_CE,underlying_CE,identifier_CE,openInterest_CE,changeinOpenInterest_CE,pchangeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,change_CE,pChange_CE,totalBuyQuantity_CE,totalSellQuantity_CE,bidQty_CE,bidprice_CE,askQty_CE,askPrice_CE,underlyingValue_CE
10,16600,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16600.00,141,0,0,0,0,1238.15,0,0,6400,7050,100,1265.55,50,1276.4,17856.5
11,16650,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16650.00,3,0,0,0,0,1102.85,0,0,7800,6300,1500,1112.15,1000,1274.5,17856.5
12,16700,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16700.00,192,1,0.5235602094240838,10,0,1186.7,-66.84999999999991,-5.332854692672802,6800,8650,300,1167.8,1750,1181.8,17856.5
13,16750,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16750.00,4,1,33.333333333333336,1,0,1100,168.14999999999998,18.044749691473946,6950,5450,200,1092.9,350,1162.4,17856.5
14,16800,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16800.00,243,1,0.4132231404958678,4,0,1078.05,-74.95000000000005,-6.500433651344323,7300,9300,150,1067.65,1800,1123.3,17856.5
15,16850,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16850.00,76,0,0,0,0,1118.3,0,0,7050,7000,750,1014.3,600,1047.85,17856.5
16,16900,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16900.00,1099,-19,-1.6994633273703041,78,0,989.4,-56.000000000000114,-5.356801224411719,7400,7950,300,971.95,50,979.8,17856.5
17,16950,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE16950.00,104,-7,-6.306306306306307,8,0,946.45,-47.25,-4.754956224212538,8350,7650,1400,836.05,950,948.45,17856.5
18,17000,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17000.00,4736,-123,-2.531385058654044,1357,0,875,-73.45000000000005,-7.7442142442933255,23450,9400,300,870.15,100,879.1,17856.5
19,17050,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17050.00,60,4,7.142857142857143,35,0,836.3,68.75,8.957071200573253,6750,8750,1450,742.8,850,848.35,17856.5
20,17100,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17100.00,1214,2,0.16501650165016502,82,0,777.45,-71.19999999999993,-8.389795557650379,7450,6650,50,778.15,50,783.7,17856.5
21,17150,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17150.00,121,0,0,0,0,771.5,-7.25,-0.9309791332263242,7650,8650,3150,641.5,1950,743.75,17856.5
