,strikePrice_PE,expiryDate_PE,underlying_PE,identifier_PE,openInterest_PE,changeinOpenInterest_PE,pchangeinOpenInterest_PE,totalTradedVolume_PE,impliedVolatility_PE,lastPrice_PE,change_PE,pChange_PE,totalBuyQuantity_PE,totalSellQuantity_PE,bidQty_PE,bidprice_PE,askQty_PE,askPrice_PE,underlyingValue_PE
15,16850,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16850.00,627,18,2.955665024630542,1863,17.2,6.25,-0.75,-10.714285714285714,78000,6500,100,5.9,50,6.4,17856.5
16,16900,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16900.00,11096,3044,37.80427223050174,16991,16.79,6.9,-0.9499999999999993,-12.101910828025469,82550,17350,100,6.7,1200,7.1,17856.5
17,16950,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE16950.00,860,-21,-2.383654937570942,3349,16.46,7.85,-0.9000000000000004,-10.28571428571429,78250,6650,300,5.65,50,8.1,17856.5
18,17000,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17000.00,43333,2782,6.860496658528766,49706,16.2,9.15,-0.9000000000000004,-8.955223880597018,187850,47450,1800,9.1,2450,9.15,17856.5
19,17050,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17050.00,1280,-192,-13.043478260869565,5010,15.73,10,-1.1999999999999993,-10.714285714285708,90100,7750,50,7.55,50,10.35,17856.5
20,17100,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17100.00,23534,4148,21.396884349530588,44104,15.41,11.5,-1.0500000000000007,-8.366533864541838,120850,12850,50,11.3,250,11.8,17856.5
21,17150,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17150.00,1486,-169,-10.211480362537765,5266,15.03,13,-1.3499999999999996,-9.407665505226479,99950,7950,50,12.8,300,15,17856.5
22,17200,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17200.00,31302,4621,17.319440800569694,36387,14.74,15.1,-1.1500000000000004,-7.076923076923079,126950,42750,350,15.05,50,15.3,17856.5
23,17250,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17250.00,5036,2137,73.71507416350465,10752,14.43,17.5,-1.1999999999999993,-6.417112299465237,79900,9100,50,16.55,350,17.5,17856.5
24,17300,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17300.00,38293,8209,27.286929929530647,55805,14.15,20.5,-1.5,-6.8181818181818175,88700,23600,50,20.45,250,21.5,17856.5
25,17350,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17350.00,2988,95,3.2837884548911167,12597,14.03,25,-0.25,-0.9900990099009901,86650,7250,50,21.05,350,25.25,17856.5
26,17400,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023PE17400.00,27178,2111,8.421430566082897,51430,13.78,29.4,0.25,0.8576329331046313,86100,22250,100,28.95,50,30,17856.5
